domain,representation,row_index,row_id,column_index,column_id,distance
power_demand,metric_space,0,power_demand_044_normal_0800_800,0,power_demand_044_normal_0800_800,0
power_demand,metric_space,0,power_demand_044_normal_0800_800,1,power_demand_044_normal_mid_4500,871.5929
power_demand,metric_space,0,power_demand_044_normal_0800_800,2,power_demand_044_pre_anomaly_18280,573.7521
power_demand,metric_space,0,power_demand_044_normal_0800_800,3,power_demand_044_anomaly_start_18485,931.2169
power_demand,metric_space,0,power_demand_044_normal_0800_800,4,power_demand_044_anomaly_mid_18653,875.5483
power_demand,metric_space,0,power_demand_044_normal_0800_800,5,power_demand_044_recovery_18821,845.904
power_demand,metric_space,0,power_demand_044_normal_0800_800,6,power_demand_045_normal_0800_800,326.6712
power_demand,metric_space,0,power_demand_044_normal_0800_800,7,power_demand_045_normal_mid_7000,594.5822
power_demand,metric_space,0,power_demand_044_normal_0800_800,8,power_demand_045_pre_anomaly_23152,1143.5461
power_demand,metric_space,0,power_demand_044_normal_0800_800,9,power_demand_045_anomaly_start_23357,1050.5497
power_demand,metric_space,0,power_demand_044_normal_0800_800,10,power_demand_045_anomaly_mid_23537,1030.8922
power_demand,metric_space,0,power_demand_044_normal_0800_800,11,power_demand_045_recovery_23717,795.7046
power_demand,metric_space,0,power_demand_044_normal_0800_800,12,power_demand_046_normal_0800_800,41.0238
power_demand,metric_space,0,power_demand_044_normal_0800_800,13,power_demand_046_normal_mid_8000,492.314
power_demand,metric_space,0,power_demand_044_normal_0800_800,14,power_demand_046_pre_anomaly_23200,1013.354
power_demand,metric_space,0,power_demand_044_normal_0800_800,15,power_demand_046_anomaly_start_23405,801.4518
power_demand,metric_space,0,power_demand_044_normal_0800_800,16,power_demand_046_anomaly_mid_23441,872.7672
power_demand,metric_space,0,power_demand_044_normal_0800_800,17,power_demand_046_recovery_23477,897.0482
power_demand,metric_space,0,power_demand_044_normal_0800_800,18,power_demand_047_normal_0800_800,230.6035
power_demand,metric_space,0,power_demand_044_normal_0800_800,19,power_demand_047_normal_mid_9000,540.2355
power_demand,metric_space,0,power_demand_044_normal_0800_800,20,power_demand_047_pre_anomaly_23800,699.5901
power_demand,metric_space,0,power_demand_044_normal_0800_800,21,power_demand_047_anomaly_start_24005,737.8956
power_demand,metric_space,0,power_demand_044_normal_0800_800,22,power_demand_047_anomaly_mid_24041,594.2765
power_demand,metric_space,0,power_demand_044_normal_0800_800,23,power_demand_047_recovery_24077,775.5048
power_demand,metric_space,1,power_demand_044_normal_mid_4500,0,power_demand_044_normal_0800_800,871.5929
power_demand,metric_space,1,power_demand_044_normal_mid_4500,1,power_demand_044_normal_mid_4500,0
power_demand,metric_space,1,power_demand_044_normal_mid_4500,2,power_demand_044_pre_anomaly_18280,732.5215
power_demand,metric_space,1,power_demand_044_normal_mid_4500,3,power_demand_044_anomaly_start_18485,833.2164
power_demand,metric_space,1,power_demand_044_normal_mid_4500,4,power_demand_044_anomaly_mid_18653,816.1539
power_demand,metric_space,1,power_demand_044_normal_mid_4500,5,power_demand_044_recovery_18821,715.1271
power_demand,metric_space,1,power_demand_044_normal_mid_4500,6,power_demand_045_normal_0800_800,807.8357
power_demand,metric_space,1,power_demand_044_normal_mid_4500,7,power_demand_045_normal_mid_7000,786.7603
power_demand,metric_space,1,power_demand_044_normal_mid_4500,8,power_demand_045_pre_anomaly_23152,835.6039
power_demand,metric_space,1,power_demand_044_normal_mid_4500,9,power_demand_045_anomaly_start_23357,928.0316
power_demand,metric_space,1,power_demand_044_normal_mid_4500,10,power_demand_045_anomaly_mid_23537,896.9475
power_demand,metric_space,1,power_demand_044_normal_mid_4500,11,power_demand_045_recovery_23717,676.0119
power_demand,metric_space,1,power_demand_044_normal_mid_4500,12,power_demand_046_normal_0800_800,875.2506
power_demand,metric_space,1,power_demand_044_normal_mid_4500,13,power_demand_046_normal_mid_8000,958.6926
power_demand,metric_space,1,power_demand_044_normal_mid_4500,14,power_demand_046_pre_anomaly_23200,735.8201
power_demand,metric_space,1,power_demand_044_normal_mid_4500,15,power_demand_046_anomaly_start_23405,568.4214
power_demand,metric_space,1,power_demand_044_normal_mid_4500,16,power_demand_046_anomaly_mid_23441,533.696
power_demand,metric_space,1,power_demand_044_normal_mid_4500,17,power_demand_046_recovery_23477,508.0393
power_demand,metric_space,1,power_demand_044_normal_mid_4500,18,power_demand_047_normal_0800_800,817.9721
power_demand,metric_space,1,power_demand_044_normal_mid_4500,19,power_demand_047_normal_mid_9000,778.1433
power_demand,metric_space,1,power_demand_044_normal_mid_4500,20,power_demand_047_pre_anomaly_23800,640.1948
power_demand,metric_space,1,power_demand_044_normal_mid_4500,21,power_demand_047_anomaly_start_24005,694.1205
power_demand,metric_space,1,power_demand_044_normal_mid_4500,22,power_demand_047_anomaly_mid_24041,634.1719
power_demand,metric_space,1,power_demand_044_normal_mid_4500,23,power_demand_047_recovery_24077,690.3368
power_demand,metric_space,2,power_demand_044_pre_anomaly_18280,0,power_demand_044_normal_0800_800,573.7521
power_demand,metric_space,2,power_demand_044_pre_anomaly_18280,1,power_demand_044_normal_mid_4500,732.5215
power_demand,metric_space,2,power_demand_044_pre_anomaly_18280,2,power_demand_044_pre_anomaly_18280,0
power_demand,metric_space,2,power_demand_044_pre_anomaly_18280,3,power_demand_044_anomaly_start_18485,798.0508
power_demand,metric_space,2,power_demand_044_pre_anomaly_18280,4,power_demand_044_anomaly_mid_18653,834.5713
power_demand,metric_space,2,power_demand_044_pre_anomaly_18280,5,power_demand_044_recovery_18821,805.4259
power_demand,metric_space,2,power_demand_044_pre_anomaly_18280,6,power_demand_045_normal_0800_800,459.8516
power_demand,metric_space,2,power_demand_044_pre_anomaly_18280,7,power_demand_045_normal_mid_7000,484.2682
power_demand,metric_space,2,power_demand_044_pre_anomaly_18280,8,power_demand_045_pre_anomaly_23152,1022.4784
power_demand,metric_space,2,power_demand_044_pre_anomaly_18280,9,power_demand_045_anomaly_start_23357,873.5994
