domain,query_id,curve_role,curve_id,curve_label,distance,values
power_demand,downsampled_power_demand_044_anomaly_start_18485,query,downsampled_power_demand_044_anomaly_start_18485,anomaly,0,"108.2573 117.199 130.5257 134.6972 141.653 150.8186 147.7532 148.6127 162.1574 169.8866 178.3086 183.2452 188.4978 194.0071 200.404 200.1174 199.3663 197.9792"
power_demand,downsampled_power_demand_044_anomaly_start_18485,metric_winner,power_demand_044_anomaly_start_18485,anomaly,324,"108.2573 110.4687 117.199 121.8891 130.5257 134.4032 134.6972 136.5728 141.653 147.9276 150.8186 148.3838 147.7532 145.5944 148.6127 155.436 162.1574 167.1579 169.8866 173.7349 178.3086 181.4987 183.2452 184.1032 188.4978 191.9227 194.0071 197.1395 200.404 201.2212 200.1174 200.449 199.3663 199.5022 197.9792 197.8968"
power_demand,downsampled_power_demand_044_anomaly_start_18485,vector_baseline_winner,power_demand_045_pre_anomaly_23152,pre_anomaly,592.9670728,"139.8027 140.1352 140.1621 140.4994 135.7877 133.0789 131.5549 152.2172 142.2719 136.6257 121.5945 113.9946 108.8043 107.2883 104.9494 110.1571 115.3318 105.6112 112.4736 125.366 129.9191 129.0896 130.0798 124.6896 120.0664 118.6829 122.003 119.8757 122.7097 125.8067 126.8664 151.8513 142.9624 135.5453 128.8065 124.8161"
power_demand,downsampled_power_demand_044_recovery_18821,query,downsampled_power_demand_044_recovery_18821,recovery,0,"108.7321 123.1625 140.5547 156.1207 167.6351 155.5396 143.6024 142.3613 203.0707 193.6775 170.7513 137.8164 132.7881 148.6979 195.208 258.8028 261.9963 230.6718"
power_demand,downsampled_power_demand_044_recovery_18821,metric_winner,power_demand_044_recovery_18821,recovery,324,"108.7321 122.9347 123.1625 131.5025 140.5547 136.5444 156.1207 167.0603 167.6351 166.8224 155.5396 146.6265 143.6024 143.1326 142.3613 162.7595 203.0707 200.3573 193.6775 180.4759 170.7513 151.1582 137.8164 135.9321 132.7881 127.1548 148.6979 154.2968 195.208 232.1991 258.8028 260.6664 261.9963 247.6526 230.6718 228.2482"
power_demand,downsampled_power_demand_044_recovery_18821,vector_baseline_winner,power_demand_045_pre_anomaly_23152,pre_anomaly,613.2139248,"139.8027 140.1352 140.1621 140.4994 135.7877 133.0789 131.5549 152.2172 142.2719 136.6257 121.5945 113.9946 108.8043 107.2883 104.9494 110.1571 115.3318 105.6112 112.4736 125.366 129.9191 129.0896 130.0798 124.6896 120.0664 118.6829 122.003 119.8757 122.7097 125.8067 126.8664 151.8513 142.9624 135.5453 128.8065 124.8161"
power_demand,downsampled_power_demand_045_anomaly_start_23357,query,downsampled_power_demand_045_anomaly_start_23357,anomaly,0,"119.4707 115.2798 103.4908 125.0161 125.2434 124.4046 125.5841 126.7937 126.539 125.2208 125.5189 128.5499 122.4332 124.4316 151.3571 187.2123 185.3897 186.1279"
power_demand,downsampled_power_demand_045_anomaly_start_23357,metric_winner,power_demand_045_anomaly_start_23357,anomaly,324,"119.4707 118.0954 115.2798 113.9106 103.4908 126.6413 125.0161 125.2596 125.2434 125.8763 124.4046 126.0326 125.5841 128.8691 126.7937 126.588 126.539 125.7721 125.2208 125.2544 125.5189 128.3315 128.5499 127.2856 122.4332 124.5171 124.4316 134.9595 151.3571 188.4509 187.2123 185.009 185.3897 185.6001 186.1279 187.0247"
power_demand,downsampled_power_demand_045_anomaly_start_23357,vector_baseline_winner,power_demand_045_pre_anomaly_23152,pre_anomaly,563.2099735,"139.8027 140.1352 140.1621 140.4994 135.7877 133.0789 131.5549 152.2172 142.2719 136.6257 121.5945 113.9946 108.8043 107.2883 104.9494 110.1571 115.3318 105.6112 112.4736 125.366 129.9191 129.0896 130.0798 124.6896 120.0664 118.6829 122.003 119.8757 122.7097 125.8067 126.8664 151.8513 142.9624 135.5453 128.8065 124.8161"
power_demand,downsampled_power_demand_045_recovery_23717,query,downsampled_power_demand_045_recovery_23717,recovery,0,"108.1941 112.7254 168.9843 223.0934 219.924 211.5379 209.5566 196.9365 181.4254 209.3569 143.7288 130.905 116.7996 127.9575 171.2711 218.1764 220.7526 197.5145"
power_demand,downsampled_power_demand_045_recovery_23717,metric_winner,power_demand_045_recovery_23717,recovery,324,"108.1941 106.9686 112.7254 131.7599 168.9843 195.8134 223.0934 226.345 219.924 208.3387 211.5379 200.3287 209.5566 205.0623 196.9365 189.1115 181.4254 195.7614 209.3569 186.9115 143.7288 152.2172 130.905 125.7421 116.7996 119.6523 127.9575 136.9422 171.2711 200.546 218.1764 222.9221 220.7526 216.8876 197.5145 208.5591"
power_demand,downsampled_power_demand_045_recovery_23717,vector_baseline_winner,power_demand_045_pre_anomaly_23152,pre_anomaly,606.2942185,"139.8027 140.1352 140.1621 140.4994 135.7877 133.0789 131.5549 152.2172 142.2719 136.6257 121.5945 113.9946 108.8043 107.2883 104.9494 110.1571 115.3318 105.6112 112.4736 125.366 129.9191 129.0896 130.0798 124.6896 120.0664 118.6829 122.003 119.8757 122.7097 125.8067 126.8664 151.8513 142.9624 135.5453 128.8065 124.8161"
power_demand,downsampled_power_demand_046_anomaly_start_23405,query,downsampled_power_demand_046_anomaly_start_23405,anomaly,0,"131.1682 197.2567 205.0768 229.4636 220.3984 173.5145 185.7459 161.983 164.3353 154.5543 145.2955 136.3238 127.9258 133.184 188.7318 193.2144 207.9019 183.9502"
power_demand,downsampled_power_demand_046_anomaly_start_23405,metric_winner,power_demand_046_anomaly_start_23405,anomaly,324,"131.1682 170.2178 197.2567 201.9211 205.0768 217.8814 229.4636 230.4374 220.3984 188.217 173.5145 184.7919 185.7459 173.1162 161.983 163.1759 164.3353 162.6153 154.5543 149.0867 145.2955 141.2344 136.3238 132.5511 127.9258 122.3759 133.184 167.8665 188.7318 191.3063 193.2144 199.9161 207.9019 204.7895 183.9502 156.2367"
power_demand,downsampled_power_demand_046_anomaly_start_23405,vector_baseline_winner,power_demand_045_pre_anomaly_23152,pre_anomaly,593.2753516,"139.8027 140.1352 140.1621 140.4994 135.7877 133.0789 131.5549 152.2172 142.2719 136.6257 121.5945 113.9946 108.8043 107.2883 104.9494 110.1571 115.3318 105.6112 112.4736 125.366 129.9191 129.0896 130.0798 124.6896 120.0664 118.6829 122.003 119.8757 122.7097 125.8067 126.8664 151.8513 142.9624 135.5453 128.8065 124.8161"
power_demand,downsampled_power_demand_046_recovery_23477,query,downsampled_power_demand_046_recovery_23477,recovery,0,"122.986 126.8607 160.7189 212.8284 223.6572 199.8741 205.3189 195.8675 179.1015 195.034 164.5678 133.0286 116.5047 115.115 122.692 164.6059 171.8446 150.062"
power_demand,downsampled_power_demand_046_recovery_23477,metric_winner,power_demand_046_recovery_23477,recovery,324,"122.986 122.8805 126.8607 133.5569 160.7189 189.2846 212.8284 219.6204 223.6572 210.5205 199.8741 202.5638 205.3189 206.6545 195.8675 186.9671 179.1015 174.5191 195.034 177.81 164.5678 155.1377 133.0286 124.1044 116.5047 114.7166 115.115 121.9589 122.692 139.4529 164.6059 173.2313 171.8446 164.6487 150.062 148.2371"
power_demand,downsampled_power_demand_046_recovery_23477,vector_baseline_winner,power_demand_045_pre_anomaly_23152,pre_anomaly,578.2243266,"139.8027 140.1352 140.1621 140.4994 135.7877 133.0789 131.5549 152.2172 142.2719 136.6257 121.5945 113.9946 108.8043 107.2883 104.9494 110.1571 115.3318 105.6112 112.4736 125.366 129.9191 129.0896 130.0798 124.6896 120.0664 118.6829 122.003 119.8757 122.7097 125.8067 126.8664 151.8513 142.9624 135.5453 128.8065 124.8161"
power_demand,downsampled_power_demand_047_anomaly_start_24005,query,downsampled_power_demand_047_anomaly_start_24005,anomaly,0,"122.8934 226.3916 184.7553 237.4878 244.1794 215.8821 173.2241 178.7252 149.5395 138.7988 132.1913 118.4144 106.7559 102.3446 143.5574 225.4447 191.6709 255.7712"
power_demand,downsampled_power_demand_047_anomaly_start_24005,metric_winner,power_demand_047_anomaly_start_24005,anomaly,324,"122.8934 188.9186 226.3916 205.68 184.7553 202.7641 237.4878 252.982 244.1794 229.4579 215.8821 190.8413 173.2241 176.3931 178.7252 166.4709 149.5395 140.0701 138.7988 137.4111 132.1913 123.5256 118.4144 112.5085 106.7559 106.6499 102.3446 100.5197 143.5574 211.8422 225.4447 197.1043 191.6709 223.6338 255.7712 262.1504"
power_demand,downsampled_power_demand_047_anomaly_start_24005,vector_baseline_winner,power_demand_045_pre_anomaly_23152,pre_anomaly,613.7553603,"139.8027 140.1352 140.1621 140.4994 135.7877 133.0789 131.5549 152.2172 142.2719 136.6257 121.5945 113.9946 108.8043 107.2883 104.9494 110.1571 115.3318 105.6112 112.4736 125.366 129.9191 129.0896 130.0798 124.6896 120.0664 118.6829 122.003 119.8757 122.7097 125.8067 126.8664 151.8513 142.9624 135.5453 128.8065 124.8161"
power_demand,downsampled_power_demand_047_recovery_24077,query,downsampled_power_demand_047_recovery_24077,recovery,0,"146.5556 135.758 194.5888 232.1368 234.6678 209.4792 203.0436 203.0837 202.6419 208.5553 171.2035 134.3476 124.6779 125.9744 184.1706 223.0162 187.7754 207.5347"
power_demand,downsampled_power_demand_047_recovery_24077,metric_winner,power_demand_047_recovery_24077,recovery,324,"146.5556 135.4206 135.758 150.3765 194.5888 216.2265 232.1368 233.2363 234.6678 227.0908 209.4792 199.7577 203.0436 209.3483 203.0837 194.6763 202.6419 225.58 208.5553 184.6707 171.2035 145.4722 134.3476 127.0685 124.6779 121.6032 125.9744 135.9453 184.1706 199.8452 223.0162 223.3635 187.7754 184.0808 207.5347 205.8159"
power_demand,downsampled_power_demand_047_recovery_24077,vector_baseline_winner,power_demand_045_pre_anomaly_23152,pre_anomaly,612.2384131,"139.8027 140.1352 140.1621 140.4994 135.7877 133.0789 131.5549 152.2172 142.2719 136.6257 121.5945 113.9946 108.8043 107.2883 104.9494 110.1571 115.3318 105.6112 112.4736 125.366 129.9191 129.0896 130.0798 124.6896 120.0664 118.6829 122.003 119.8757 122.7097 125.8067 126.8664 151.8513 142.9624 135.5453 128.8065 124.8161"
internal_bleeding,downsampled_internal_bleeding_026_anomaly_start_5684,query,downsampled_internal_bleeding_026_anomaly_start_5684,anomaly_start,0,"42.0625 41.5133 42.3182 42.4537 43.0512 44.0891 44.6296 45.9134 48.2147 51.1794 53.2371 55.5301 57.9254 59.8624 61.0579 63.1406 64.9353 66.3518"
internal_bleeding,downsampled_internal_bleeding_026_anomaly_start_5684,metric_winner,internal_bleeding_026_anomaly_start_5684,anomaly_start,324,"42.0625 41.7768 41.5133 42.0383 42.3182 42.1421 42.4537 42.8451 43.0512 43.5987 44.0891 44.5322 44.6296 45.0813 45.9134 46.5423 48.2147 50.02 51.1794 52.1054 53.2371 54.4371 55.5301 56.7407 57.9254 59.0344 59.8624 60.4073 61.0579 62.0018 63.1406 63.9756 64.9353 65.7161 66.3518 67.1177"
internal_bleeding,downsampled_internal_bleeding_026_anomaly_start_5684,vector_baseline_winner,internal_bleeding_026_pre_anomaly_5479,pre_anomaly,180.8187902,"42.3338 41.8597 42.0574 42.5679 42.6723 42.3606 42.3485 42.3851 42.204 41.9816 41.7904 41.2165 41.2847 41.5609 41.3009 40.8664 40.8393 41.2276 41.64 41.123 41.1281 41.161 41.3171 40.906 40.4856 40.1903 40.3276 39.9854 39.5775 39.905 40.334 40.261 40.0669 40.1903 39.8796 40.2413"
internal_bleeding,downsampled_internal_bleeding_026_recovery_5854,query,downsampled_internal_bleeding_026_recovery_5854,recovery,0,"53.4633 53.435 52.8412 52.3283 52.6351 52.3219 52.0676 51.6098 51.7786 51.2923 50.9635 50.1054 49.3048 48.4437 48.0314 47.9536 48.5404 48.583"
internal_bleeding,downsampled_internal_bleeding_026_recovery_5854,metric_winner,internal_bleeding_026_recovery_5854,recovery,324,"53.4633 53.5029 53.435 52.9897 52.8412 52.4404 52.3283 52.6773 52.6351 52.5453 52.3219 52.13 52.0676 51.85 51.6098 51.7363 51.7786 51.8457 51.2923 51.2599 50.9635 50.6447 50.1054 49.6006 49.3048 48.8602 48.4437 48.2804 48.0314 48.1825 47.9536 48.3173 48.5404 48.8235 48.583 48.4701"
internal_bleeding,downsampled_internal_bleeding_026_recovery_5854,vector_baseline_winner,internal_bleeding_026_pre_anomaly_5479,pre_anomaly,176.1169078,"42.3338 41.8597 42.0574 42.5679 42.6723 42.3606 42.3485 42.3851 42.204 41.9816 41.7904 41.2165 41.2847 41.5609 41.3009 40.8664 40.8393 41.2276 41.64 41.123 41.1281 41.161 41.3171 40.906 40.4856 40.1903 40.3276 39.9854 39.5775 39.905 40.334 40.261 40.0669 40.1903 39.8796 40.2413"
