w_grid_size,h_grid_size,s_learn_rate,f_learn_rate,initial_neighbour_size,neigbour_range_decay,random_seed,iterations,distribution_type,metric_type,graph_type,score,
5,5,0.200000,0.000000,5.000000,1.500000,0,100,uniform_real_distribution,Euclidian,Grid6,0.775622,
5,5,0.200000,0.000000,5.000000,1.500000,0,100,exponential_distribution,Euclidian,Grid6,0.668002,
5,5,0.200000,0.000000,5.000000,1.500000,0,1000,exponential_distribution,Euclidian,Grid6,0.645453,
5,5,0.200000,0.000000,5.000000,1.500000,0,1000,normal_distribution,Euclidian,Grid6,0.610680,
5,5,0.200000,0.000000,5.000000,1.500000,0,1000,uniform_real_distribution,Euclidian,Grid6,0.623671,
5,5,0.200000,0.000000,5.000000,1.500000,0,100,normal_distribution,Euclidian,Grid6,0.805557,
5,5,0.200000,0.000000,5.000000,1.500000,0,5000,uniform_real_distribution,Euclidian,Grid6,0.490925,
5,5,0.200000,0.000000,5.000000,1.500000,0,5000,normal_distribution,Euclidian,Grid6,0.549224,
5,5,0.200000,0.000000,5.000000,1.500000,0,5000,exponential_distribution,Euclidian,Grid6,0.518518,
5,5,0.200000,0.000000,5.000000,2.000000,0,100,normal_distribution,Euclidian,Grid6,0.961578,
5,5,0.200000,0.000000,5.000000,2.000000,0,100,uniform_real_distribution,Euclidian,Grid6,0.810119,
5,5,0.200000,0.000000,5.000000,2.000000,0,100,exponential_distribution,Euclidian,Grid6,0.746076,
5,5,0.200000,0.000000,5.000000,1.500000,0,10000,uniform_real_distribution,Euclidian,Grid6,0.519630,
5,5,0.200000,0.000000,5.000000,2.000000,0,1000,uniform_real_distribution,Euclidian,Grid6,0.546097,
5,5,0.200000,0.000000,5.000000,1.500000,0,10000,exponential_distribution,Euclidian,Grid6,0.475359,
5,5,0.200000,0.000000,5.000000,1.500000,0,10000,normal_distribution,Euclidian,Grid6,0.460486,
5,5,0.200000,0.000000,5.000000,2.000000,0,1000,normal_distribution,Euclidian,Grid6,0.609951,
5,5,0.200000,0.000000,5.000000,2.000000,0,1000,exponential_distribution,Euclidian,Grid6,0.569474,
5,5,0.200000,0.000000,5.000000,2.000000,0,5000,uniform_real_distribution,Euclidian,Grid6,0.520230,
5,5,0.200000,0.000000,5.000000,2.000000,0,5000,normal_distribution,Euclidian,Grid6,0.538164,
5,5,0.200000,0.000000,5.000000,2.000000,0,5000,exponential_distribution,Euclidian,Grid6,0.511057,
5,5,0.200000,0.000000,5.000000,2.000000,0,10000,uniform_real_distribution,Euclidian,Grid6,0.465086,
5,5,0.200000,0.000000,5.000000,2.000000,0,10000,normal_distribution,Euclidian,Grid6,0.485183,
5,5,0.200000,0.000000,5.000000,2.000000,0,10000,exponential_distribution,Euclidian,Grid6,0.503455,
5,5,0.200000,0.000000,5.000000,3.000000,0,100,uniform_real_distribution,Euclidian,Grid6,0.831309,
5,5,0.200000,0.000000,5.000000,3.000000,0,100,normal_distribution,Euclidian,Grid6,0.828697,
5,5,0.200000,0.000000,5.000000,3.000000,0,100,exponential_distribution,Euclidian,Grid6,0.679916,
5,5,0.200000,0.000000,5.000000,3.000000,0,1000,uniform_real_distribution,Euclidian,Grid6,0.538812,
5,5,0.200000,0.000000,5.000000,3.000000,0,1000,normal_distribution,Euclidian,Grid6,0.550193,
5,5,0.200000,0.000000,5.000000,3.000000,0,1000,exponential_distribution,Euclidian,Grid6,0.573898,
5,5,0.200000,0.000000,5.000000,3.000000,0,5000,uniform_real_distribution,Euclidian,Grid6,0.457623,
5,5,0.200000,0.000000,5.000000,3.000000,0,5000,normal_distribution,Euclidian,Grid6,0.496326,
5,5,0.200000,0.000000,5.000000,3.000000,0,5000,exponential_distribution,Euclidian,Grid6,0.497441,
5,5,0.200000,0.000000,5.000000,3.000000,0,10000,uniform_real_distribution,Euclidian,Grid6,0.429058,
5,5,0.200000,0.000000,5.000000,3.000000,0,10000,normal_distribution,Euclidian,Grid6,0.432724,
5,5,0.200000,0.000000,10.000000,1.500000,0,100,uniform_real_distribution,Euclidian,Grid6,0.833234,
5,5,0.200000,0.000000,10.000000,1.500000,0,100,normal_distribution,Euclidian,Grid6,0.807840,
5,5,0.200000,0.000000,5.000000,3.000000,0,10000,exponential_distribution,Euclidian,Grid6,0.450123,
5,5,0.200000,0.000000,10.000000,1.500000,0,100,exponential_distribution,Euclidian,Grid6,0.795825,
5,5,0.200000,0.000000,10.000000,1.500000,0,1000,uniform_real_distribution,Euclidian,Grid6,0.693798,
5,5,0.200000,0.000000,10.000000,1.500000,0,1000,normal_distribution,Euclidian,Grid6,0.675343,
5,5,0.200000,0.000000,10.000000,1.500000,0,1000,exponential_distribution,Euclidian,Grid6,0.655328,
5,5,0.200000,0.000000,10.000000,1.500000,0,5000,uniform_real_distribution,Euclidian,Grid6,0.592198,
5,5,0.200000,0.000000,10.000000,1.500000,0,5000,normal_distribution,Euclidian,Grid6,0.579142,
5,5,0.200000,0.000000,10.000000,1.500000,0,5000,exponential_distribution,Euclidian,Grid6,0.616670,
5,5,0.200000,0.000000,10.000000,1.500000,0,10000,uniform_real_distribution,Euclidian,Grid6,0.571303,
5,5,0.200000,0.000000,10.000000,1.500000,0,10000,normal_distribution,Euclidian,Grid6,0.565310,
5,5,0.200000,0.000000,10.000000,1.500000,0,10000,exponential_distribution,Euclidian,Grid6,0.604883,
5,5,0.200000,0.000000,10.000000,2.000000,0,100,uniform_real_distribution,Euclidian,Grid6,0.876287,
5,5,0.200000,0.000000,10.000000,2.000000,0,100,normal_distribution,Euclidian,Grid6,0.953964,
5,5,0.200000,0.000000,10.000000,2.000000,0,100,exponential_distribution,Euclidian,Grid6,0.816915,
5,5,0.200000,0.000000,10.000000,2.000000,0,1000,uniform_real_distribution,Euclidian,Grid6,0.645097,
5,5,0.200000,0.000000,10.000000,2.000000,0,1000,normal_distribution,Euclidian,Grid6,0.665974,
5,5,0.200000,0.000000,10.000000,2.000000,0,1000,exponential_distribution,Euclidian,Grid6,0.682170,
5,5,0.200000,0.000000,10.000000,2.000000,0,5000,uniform_real_distribution,Euclidian,Grid6,0.541138,
5,5,0.200000,0.000000,10.000000,2.000000,0,5000,normal_distribution,Euclidian,Grid6,0.545072,
5,5,0.200000,0.000000,10.000000,2.000000,0,5000,exponential_distribution,Euclidian,Grid6,0.570591,
5,5,0.200000,0.000000,10.000000,2.000000,0,10000,uniform_real_distribution,Euclidian,Grid6,0.535479,
5,5,0.200000,0.000000,10.000000,2.000000,0,10000,normal_distribution,Euclidian,Grid6,0.575292,
5,5,0.200000,0.000000,10.000000,3.000000,0,100,uniform_real_distribution,Euclidian,Grid6,0.789002,
5,5,0.200000,0.000000,10.000000,2.000000,0,10000,exponential_distribution,Euclidian,Grid6,0.558302,
5,5,0.200000,0.000000,10.000000,3.000000,0,100,normal_distribution,Euclidian,Grid6,0.831472,
5,5,0.200000,0.000000,10.000000,3.000000,0,100,exponential_distribution,Euclidian,Grid6,0.633521,
5,5,0.200000,0.000000,10.000000,3.000000,0,1000,uniform_real_distribution,Euclidian,Grid6,0.647713,
5,5,0.200000,0.000000,10.000000,3.000000,0,1000,normal_distribution,Euclidian,Grid6,0.603289,
5,5,0.200000,0.000000,10.000000,3.000000,0,1000,exponential_distribution,Euclidian,Grid6,0.620656,
