record_id,source_file,source_start_index,source_end_index,source_label,values
internal_bleeding_024_internalbleeding10_00_normal_640,024_UCR_Anomaly_DISTORTEDInternalBleeding10_3200_4526_4556.txt,640,675,normal,"103.4703 104.0439 103.9475 104.3757 104.0765 104.4297 103.9339 103.6150 103.3417 103.0458 102.6576 101.8320 101.0255 100.4793 99.4243 98.3871 97.1648 95.1832 93.2230 91.0172 88.4712 86.0112 84.7850 84.3253 85.2970 85.7670 86.4865 87.2324 87.8561 88.8843 89.6563 90.3977 90.9874 91.6866 92.2821 92.0458"
internal_bleeding_024_internalbleeding10_01_normal_676,024_UCR_Anomaly_DISTORTEDInternalBleeding10_3200_4526_4556.txt,676,711,normal,"91.9132 91.8102 91.4304 91.3818 90.0231 89.6221 89.3382 88.4178 86.8632 85.6686 85.5504 85.4635 84.7710 83.9885 83.1083 83.4353 83.5122 83.5248 83.2856 83.8174 83.3783 83.2530 83.0776 83.1891 83.1811 82.6520 82.5505 82.2903 82.1408 81.6094 81.5982 80.9221 80.7078 79.8461 79.7306 79.5004"
internal_bleeding_024_internalbleeding10_02_normal_1440,024_UCR_Anomaly_DISTORTEDInternalBleeding10_3200_4526_4556.txt,1440,1475,normal,"84.2975 85.4533 86.7073 87.3799 87.6164 88.1374 88.1167 88.2029 87.9144 87.5544 87.3149 87.2869 86.5825 85.3971 84.5900 84.0169 82.7460 81.7737 81.2316 81.0238 80.9468 80.9318 80.1817 80.2174 80.1003 80.0457 79.9944 79.9804 79.8861 80.3284 80.0987 80.1171 80.2632 80.0236 80.2863 79.7089"
internal_bleeding_024_internalbleeding10_03_normal_1476,024_UCR_Anomaly_DISTORTEDInternalBleeding10_3200_4526_4556.txt,1476,1511,normal,"79.0645 78.8315 79.1989 78.7308 78.0733 77.5950 77.2567 77.2995 76.8123 76.4491 75.6610 74.6969 74.2572 73.9304 73.7316 73.2745 72.9065 72.5480 72.1234 72.4943 71.8143 72.1417 72.2721 72.1455 72.3649 72.1591 71.2781 71.4931 71.6068 71.1584 71.7814 71.5883 71.4522 70.8946 70.1475 69.6827"
internal_bleeding_024_internalbleeding10_04_normal_late_2240,024_UCR_Anomaly_DISTORTEDInternalBleeding10_3200_4526_4556.txt,2240,2275,normal_late,"82.0402 81.8918 82.2115 82.6398 82.6445 82.3564 82.7413 83.1398 83.3636 83.6651 83.1515 83.0983 82.3621 82.2035 82.0360 81.6279 81.6028 81.5359 81.1355 80.6058 80.6963 80.0081 79.9756 79.5555 79.3813 78.7893 78.1402 77.5691 77.2694 77.2771 76.8052 76.7100 76.2562 76.4172 77.0197 76.7508"
internal_bleeding_024_internalbleeding10_05_normal_late_3128,024_UCR_Anomaly_DISTORTEDInternalBleeding10_3200_4526_4556.txt,3128,3163,normal_late,"98.7921 98.2924 97.3870 95.0867 92.8445 89.8521 87.6967 84.9655 83.8072 83.5636 84.7052 85.7979 86.5035 86.8967 87.0751 87.8910 88.5401 89.4274 89.9821 90.2097 91.0144 90.7933 91.2312 91.1090 90.7092 90.5904 89.5805 89.2326 88.9170 87.6911 86.9633 86.4562 86.2572 85.2268 84.7309 84.9210"
internal_bleeding_024_internalbleeding10_06_pre_anomaly_4310,024_UCR_Anomaly_DISTORTEDInternalBleeding10_3200_4526_4556.txt,4310,4345,pre_anomaly,"72.7272 72.6878 72.3287 72.3347 73.4103 74.5961 76.6026 78.9655 81.0194 83.8247 86.3625 88.2287 90.1372 92.3154 94.2211 95.7316 96.4540 97.0559 97.8513 98.0486 98.2769 97.4365 97.3770 96.9398 96.7368 96.9382 96.8814 96.8448 96.2953 96.8383 97.3515 97.8367 98.6574 99.5290 100.3433 101.2287"
internal_bleeding_024_internalbleeding10_07_pre_anomaly_4382,024_UCR_Anomaly_DISTORTEDInternalBleeding10_3200_4526_4556.txt,4382,4417,pre_anomaly,"92.1827 93.0084 93.8065 93.9933 93.3860 93.1257 92.5581 91.7551 91.3078 90.1926 88.9612 88.1082 87.2553 86.3111 85.4514 84.9374 84.0948 84.1612 83.4862 83.5252 83.0336 82.6971 82.5247 81.7891 82.1302 82.2265 82.4550 82.4238 81.8368 81.7953 81.5774 81.5428 81.3193 81.1238 81.2404 81.0554"
internal_bleeding_024_internalbleeding10_08_pre_anomaly_4454,024_UCR_Anomaly_DISTORTEDInternalBleeding10_3200_4526_4556.txt,4454,4489,pre_anomaly,"72.3738 72.6883 72.4705 71.6414 71.1481 70.6046 70.6471 70.4067 69.8595 69.1091 68.4604 68.0657 67.7523 67.5577 68.1640 68.0481 68.3657 69.1684 70.1722 71.7262 73.4286 75.9491 77.7382 80.0164 82.1088 83.9840 85.5527 86.7991 87.9320 88.7721 89.5787 89.8435 90.3117 90.8963 90.8777 91.1520"
internal_bleeding_024_internalbleeding10_09_pre_anomaly_4490,024_UCR_Anomaly_DISTORTEDInternalBleeding10_3200_4526_4556.txt,4490,4525,pre_anomaly,"90.8286 90.6664 91.2205 91.5135 91.3571 91.4161 91.5562 92.3947 92.9199 93.0266 93.1661 93.7370 94.6134 95.4649 96.3675 96.2816 96.5254 96.8254 97.6587 98.0608 97.8356 98.0516 98.4240 98.6985 98.4216 97.8822 97.1515 96.0968 94.8017 93.0446 91.1221 89.2913 86.7453 83.5870 80.8366 78.3426"
internal_bleeding_024_internalbleeding10_10_pre_anomaly_4520,024_UCR_Anomaly_DISTORTEDInternalBleeding10_3200_4526_4556.txt,4520,4555,pre_anomaly,"91.1221 89.2913 86.7453 83.5870 80.8366 78.3426 85.6880 86.4180 86.9837 88.1904 88.9531 89.9094 90.6910 91.0250 91.3509 91.1539 91.0565 90.7787 90.6815 90.2567 90.0949 90.5643 90.5152 89.9292 89.5560 89.1346 88.3345 87.6209 87.0376 85.8756 85.5247 85.4417 84.6694 83.8433 82.9657 81.8352"
internal_bleeding_024_internalbleeding10_11_pre_anomaly_4523,024_UCR_Anomaly_DISTORTEDInternalBleeding10_3200_4526_4556.txt,4523,4558,pre_anomaly,"83.5870 80.8366 78.3426 85.6880 86.4180 86.9837 88.1904 88.9531 89.9094 90.6910 91.0250 91.3509 91.1539 91.0565 90.7787 90.6815 90.2567 90.0949 90.5643 90.5152 89.9292 89.5560 89.1346 88.3345 87.6209 87.0376 85.8756 85.5247 85.4417 84.6694 83.8433 82.9657 81.8352 81.1024 80.5335 79.6542"
internal_bleeding_024_internalbleeding10_12_anomaly_start_4526,024_UCR_Anomaly_DISTORTEDInternalBleeding10_3200_4526_4556.txt,4526,4561,anomaly_start,"85.6880 86.4180 86.9837 88.1904 88.9531 89.9094 90.6910 91.0250 91.3509 91.1539 91.0565 90.7787 90.6815 90.2567 90.0949 90.5643 90.5152 89.9292 89.5560 89.1346 88.3345 87.6209 87.0376 85.8756 85.5247 85.4417 84.6694 83.8433 82.9657 81.8352 81.1024 80.5335 79.6542 78.3652 77.7448 77.4631"
internal_bleeding_024_internalbleeding10_13_recovery_4556,024_UCR_Anomaly_DISTORTEDInternalBleeding10_3200_4526_4556.txt,4556,4591,recovery,"81.1024 80.5335 79.6542 78.3652 77.7448 77.4631 77.4464 77.4253 77.6152 77.5078 77.5983 78.0024 77.7901 77.7036 77.7941 77.9580 77.4528 77.2291 76.9211 76.4566 76.9262 76.3968 76.2895 76.0745 75.6120 75.8628 75.3441 74.9733 75.0022 75.1467 75.1128 74.8594 74.7042 74.4740 74.2916 73.3809"
internal_bleeding_024_internalbleeding10_14_recovery_4592,024_UCR_Anomaly_DISTORTEDInternalBleeding10_3200_4526_4556.txt,4592,4627,recovery,"73.0421 72.7778 72.5979 72.0850 71.9814 72.0407 71.6039 71.3416 71.2204 70.4882 70.0853 69.7513 69.4075 69.1495 68.7482 68.9269 68.7371 68.9869 68.7549 68.0688 67.3384 66.9924 66.1281 65.6035 65.1841 64.4723 63.9728 64.2542 64.3163 64.7236 64.9630 65.6400 67.8372 69.9882 72.8576 74.7442"
